('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1636902 function calls (1616083 primitive calls) in 3.011 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     87/1    0.001    0.000    3.011    3.011 {built-in method builtins.exec}
        1    0.000    0.000    3.010    3.010 financial_enhanced.py:1(<module>)
        1    0.000    0.000    1.463    1.463 financial_enhanced.py:12(get_page)
      990    0.002    0.000    1.341    0.001 socket.py:706(readinto)
      990    0.003    0.000    1.337    0.001 ssl.py:1289(recv_into)
      990    0.001    0.000    1.334    0.001 ssl.py:1129(read)
      990    1.332    0.001    1.332    0.001 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    1.164    1.164 request.py:138(urlopen)
        1    0.000    0.000    1.148    1.148 request.py:470(open)
        1    0.000    0.000    1.148    1.148 request.py:499(_open)
        2    0.000    0.000    1.148    0.574 request.py:459(_call_chain)
        1    0.000    0.000    1.148    1.148 request.py:1366(https_open)
        1    0.000    0.000    1.148    1.148 request.py:1278(do_open)
        1    0.000    0.000    1.048    1.048 client.py:1386(getresponse)
        1    0.000    0.000    1.048    1.048 client.py:324(begin)
       29    0.000    0.000    1.047    0.036 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    1.026    1.026 client.py:291(_read_status)
       10    0.000    0.000    0.845    0.085 __init__.py:1(<module>)
        1    0.003    0.003    0.579    0.579 financial_enhanced.py:25(check_ticker)
        2    0.000    0.000    0.541    0.270 element.py:2534(__repr__)
        2    0.001    0.000    0.541    0.270 __init__.py:1076(decode)
        2    0.060    0.030    0.540    0.270 element.py:2570(decode)
    114/3    0.001    0.000    0.482    0.161 <frozen importlib._bootstrap>:1349(_find_and_load)
    114/3    0.001    0.000    0.482    0.161 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    109/4    0.001    0.000    0.481    0.120 <frozen importlib._bootstrap>:911(_load_unlocked)
     86/4    0.000    0.000    0.481    0.120 <frozen importlib._bootstrap_external>:1020(exec_module)
    257/7    0.003    0.000    0.477    0.068 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.452    0.452 __init__.py:211(__init__)
        1    0.000    0.000    0.448    0.448 __init__.py:653(_feed)
        1    0.000    0.000    0.448    0.448 _htmlparser.py:433(feed)
        1    0.000    0.000    0.448    0.448 parser.py:104(feed)
        2    0.036    0.018    0.448    0.224 parser.py:134(goahead)
       87    0.073    0.001    0.368    0.004 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.307    0.307 element.py:1(<module>)
    16454    0.088    0.000    0.302    0.000 element.py:2764(_format_tag)
        1    0.000    0.000    0.296    0.296 client.py:463(read)
        1    0.000    0.000    0.296    0.296 client.py:635(_safe_read)
     4191    0.052    0.000    0.275    0.000 parser.py:301(parse_starttag)
        1    0.000    0.000    0.167    0.167 formatter.py:1(<module>)
    27642    0.070    0.000    0.167    0.000 formatter.py:138(substitute)
        1    0.000    0.000    0.166    0.166 dammit.py:1(<module>)
      276    0.000    0.000    0.163    0.001 __init__.py:287(compile)
      276    0.003    0.000    0.163    0.001 __init__.py:330(_compile)
      155    0.001    0.000    0.159    0.001 _compiler.py:743(compile)
    15/11    0.000    0.000    0.152    0.014 {built-in method builtins.__import__}
     4191    0.016    0.000    0.142    0.000 _htmlparser.py:142(handle_starttag)
        1    0.000    0.000    0.142    0.142 request.py:1(<module>)
    44/33    0.000    0.000    0.141    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.127    0.127 css.py:1(<module>)
    19492    0.009    0.000    0.124    0.000 formatter.py:161(attribute_value)
     4191    0.023    0.000    0.121    0.000 __init__.py:990(handle_starttag)
       86    0.001    0.000    0.118    0.001 <frozen importlib._bootstrap_external>:1093(get_code)
        1    0.000    0.000    0.111    0.111 css_parser.py:1(<module>)
        1    0.000    0.000    0.100    0.100 client.py:1335(request)
        1    0.000    0.000    0.100    0.100 client.py:1340(_send_request)
        1    0.000    0.000    0.100    0.100 client.py:1322(endheaders)
        1    0.000    0.000    0.100    0.100 client.py:1084(_send_output)
        1    0.000    0.000    0.100    0.100 client.py:1029(send)
        1    0.000    0.000    0.100    0.100 client.py:1469(connect)
  109/106    0.000    0.000    0.098    0.001 <frozen importlib._bootstrap>:806(module_from_spec)
       86    0.001    0.000    0.096    0.001 <frozen importlib._bootstrap_external>:1214(get_data)
    21/19    0.000    0.000    0.095    0.005 <frozen importlib._bootstrap_external>:1318(create_module)
    21/19    0.092    0.004    0.095    0.005 {built-in method _imp.create_dynamic}
    24606    0.038    0.000    0.095    0.000 element.py:2692(_event_stream)
      155    0.001    0.000    0.094    0.001 _parser.py:970(parse)
     3966    0.013    0.000    0.093    0.000 parser.py:379(parse_endtag)
 1018/155    0.009    0.000    0.092    0.001 _parser.py:451(_parse_sub)
 4414/161    0.030    0.000    0.092    0.001 _parser.py:511(_parse)
        1    0.006    0.006    0.077    0.077 dammit.py:128(_populate_class_variables)
        5    0.000    0.000    0.073    0.015 element.py:3024(find_all)
        5    0.000    0.000    0.073    0.015 element.py:1266(_find_all)
        4    0.000    0.000    0.073    0.018 element.py:2957(find)
        5    0.000    0.000    0.073    0.015 filter.py:163(find_all)
       10    0.008    0.001    0.073    0.007 filter.py:130(filter)
     4191    0.010    0.000    0.072    0.000 _htmlparser.py:204(handle_endtag)
  320/319    0.005    0.000    0.072    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.072    0.072 client.py:1000(connect)
        1    0.000    0.000    0.072    0.072 socket.py:822(create_connection)
        1    0.000    0.000    0.069    0.069 client.py:1(<module>)
     8716    0.015    0.000    0.065    0.000 __init__.py:829(endData)
     7816    0.007    0.000    0.064    0.000 element.py:1526(output_ready)
      155    0.000    0.000    0.063    0.000 _compiler.py:576(_code)
     4190    0.006    0.000    0.062    0.000 __init__.py:1056(handle_endtag)
     8150    0.006    0.000    0.059    0.000 element.py:432(format_string)
    11042    0.009    0.000    0.057    0.000 filter.py:726(match)
     4192    0.014    0.000    0.056    0.000 element.py:1813(__init__)
        1    0.000    0.000    0.054    0.054 css_parser.py:428(CSSParser)
       16    0.000    0.000    0.051    0.003 css_parser.py:306(__init__)
 4877/155    0.023    0.000    0.051    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.050    0.050 socket.py:960(getaddrinfo)
        1    0.047    0.047    0.050    0.050 {built-in method _socket.getaddrinfo}
